"BookletNumber","VH098519","VH098522","VH098556","VH098597","VH098740","VH098753","VH098759","VH098779","VH098783","VH098808","VH098810","VH098812","VH098834","VH098839","VH134366","VH134373","VH134387","VH139047","VH139196"
2093074454,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0
2093075311,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0
2093076546,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0
2093077291,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0
2093078395,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0
2093079502,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2093079677,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2093079693,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0
2093081621,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0
2093081825,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0
2093082040,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1
2093084026,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1
2093085065,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0
2093086215,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0
2093087408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2093087700,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0
2093089559,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
2093091740,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0
2093091855,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0
2093092681,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0
2093093831,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0
2093093980,1,NA,NA,0,0,1,1,NA,1,1,0,0,NA,1,1,1,1,1,1
2093095435,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0
2093095842,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0
2093096717,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
2093098752,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0
2093099333,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
2093103951,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1
2093104744,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0
2093108031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2093109037,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1
2093109321,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
2093110426,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
2093111627,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0
2093111694,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0
2093112810,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
2093115801,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0
2093116815,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0
2093119199,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0
2093119547,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0
2093119601,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
2093120154,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0
2093121401,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0
2093122271,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0
2093122602,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1
2093123781,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0
2093127469,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
2093129461,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1
2093129607,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0
2093129666,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1
2093129682,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
2093129852,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0
2093129933,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2093130117,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0
2093130214,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0
2093130451,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0
2093132497,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
2093134198,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0
2093135135,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1
2093135551,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2093135585,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2093135984,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2093136395,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
2093136581,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0
2093137421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
2093137596,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1
2093138185,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0
2093139661,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0
2093140490,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
2093142719,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0
2093143057,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0
2093144754,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0
2093146552,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1
2093150649,1,NA,NA,NA,0,1,1,NA,1,1,0,0,NA,0,1,1,0,1,1
2093152498,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0
2093153885,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0
2093156868,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0
2093157112,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0
2093157520,0,NA,NA,NA,0,1,1,NA,0,1,0,0,NA,NA,1,NA,1,1,0
2093158208,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0
2093158500,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0
2093158551,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
2093160431,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0
2093161144,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0
2093161705,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
