"BookletNumber","VH098519","VH098522","VH098556","VH098597","VH098740","VH098753","VH098759","VH098779","VH098783","VH098808","VH098810","VH098812","VH098834","VH098839","VH134366","VH134373","VH134387","VH139047","VH139196"
2093032654,1,1,1,0,1,0,0,1,1,1,1,1,1,1,3,1,1,2,3
2093032808,1,9,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,2,1
2093032972,0,NA,NA,NA,1,0,0,NA,0,0,1,0,NA,9,7,0,1,2,1
2093033154,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,2,2
2093033812,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2093034096,1,9,0,1,0,1,1,1,1,1,1,1,1,1,3,0,0,2,3
2093035149,0,9,1,1,1,0,1,1,1,0,1,0,9,0,3,8,0,2,1
2093035700,1,1,0,1,0,0,1,1,1,0,0,1,1,0,3,1,1,2,3
2093035882,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1
2093035955,1,NA,NA,NA,0,0,0,NA,1,1,1,9,NA,NA,3,NA,0,2,9
2093036731,0,9,9,1,1,1,8,9,1,8,0,8,9,0,1,8,8,2,2
2093037435,1,NA,NA,9,1,0,1,NA,1,1,1,0,NA,1,3,0,0,2,3
2093037494,0,0,0,1,0,0,0,0,1,0,0,0,0,8,1,0,0,2,1
2093037508,1,9,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,2
2093037656,0,NA,NA,9,0,0,0,NA,0,0,1,0,NA,0,1,0,0,2,2
2093037745,1,NA,NA,NA,1,8,8,NA,8,0,1,0,NA,9,3,1,1,2,2
2093038091,1,NA,NA,9,1,0,0,NA,1,0,1,1,NA,1,2,0,0,2,1
2093038334,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
2093038784,0,NA,NA,NA,1,0,1,NA,8,1,1,0,NA,NA,3,9,0,2,2
2093038920,0,NA,9,0,0,0,0,NA,1,1,1,0,NA,0,2,0,0,2,1
2093039128,1,NA,NA,NA,0,9,0,NA,NA,0,0,NA,NA,NA,1,NA,NA,2,NA
2093042170,1,1,8,0,0,8,0,0,8,8,1,8,0,0,3,8,8,2,1
2093043371,1,0,0,0,0,1,0,1,0,0,1,1,1,0,2,8,8,1,1
2093043460,1,NA,NA,NA,1,0,0,NA,1,0,1,1,NA,NA,3,9,0,2,2
2093043621,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,2,2
2093046175,1,NA,1,0,1,8,1,9,1,1,1,1,NA,0,2,8,8,2,8
2093046442,0,0,0,0,0,1,0,1,1,1,1,1,0,0,3,0,0,2,1
